Rank,Name,Uploads,Subscribers,Views,Uploads
343,Sony PAL,1,8.99M,"4,336,198,325","11,614"
347,Haryanvi Maina,1,8.93M,"416,673,280","1,700"
354,Jen Smith,1,8.81M,"2,970,083,586","1,899"
355,DuDuPopTOY,1,8.8M,"3,895,616,287","1,273"
358,Safiya Nygaard,1,8.74M,"1,246,549,833",152
359,Kiddiestv Hindi,1,8.74M,"2,950,133,908",135
361,Tauz,1,8.71M,"1,981,620,904",162
365,Lizbeth Rodriguez,1,8.68M,"538,739,316",172
366,Tyga,1,8.68M,"255,827,818",143
367,Halsey,1,8.66M,"2,932,188",15
381,ABS-CBN News,1,8.5M,"5,740,191,152","124,800"
382,Raditya Dika,1,8.49M,"1,300,198,710","1,097"
389,办公室小野官方频道 Ms Yea…,1,8.42M,"1,980,335,488",172
397,Troom Troom PT,1,8.33M,"2,099,740,396","1,089"
398,freekickerz,1,8.32M,"2,155,961,827","1,343"
399,Les' Copaque Production,1,8.3M,"4,012,656,007","1,147"
402,NishaMadhulika,1,8.27M,"1,564,552,265","1,523"
406,Thairath,1,8.24M,"5,481,101,923","139,764"
407,ElTrollino,1,8.23M,"2,150,503,905","1,411"
408,welovekamikaze,1,8.21M,"3,860,425,793","1,868"
419,littlemixVEVO,1,8.06M,"4,860,435,466",154
423,T-Series Regional,1,8.02M,"3,347,749,332","15,468"
425,Simone e Simaria,1,7.99M,"726,327,467",189
426,Patty Mayo,1,7.98M,"827,485,688",180
429,Gameplayrj,1,7.96M,"3,067,352,090","15,449"
430,The Voice,1,7.96M,"1,164,199,475","1,307"
434,Wish 107.5,1,7.91M,"2,840,619,895","1,016"
435,هل تعلم؟,1,7.9M,"802,576,530","1,164"
436,Ninja Kidz TV,1,7.89M,"3,043,789,656",158
437,Toys Unlimited,1,7.89M,"4,931,255,523","1,381"
444,Kids smile TV,1,7.82M,"2,609,767,502",128
446,DARK SECRETS,1,7.79M,"543,426,713",110
449,TeamYouTube [Help],1,7.74M,"90,521,453",117
455,POCOYÓ en ESPAÑOL - Canal Oficial,1,7.67M,"5,274,028,492","1,067"
457,Harsh Beniwal,1,7.65M,"630,582,710",138
458,متع عقلك,1,7.64M,"1,326,655,751","1,637"
459,Macklemore LLC,1,7.64M,"3,759,811,647",134
462,Pica - Pica Oficial,1,7.6M,"4,681,242,642",188
466,Amara Que Linda,1,7.57M,"457,364,731",131
469,Liova and Toys,1,7.55M,"888,930,591",19
471,Arcangel,1,7.55M,"1,800,108,773",124
472,eltrece,1,7.54M,"7,320,067,594","100,728"
473,Corridor,1,7.49M,"1,310,605,743",189
477,Monstercat: Uncaged,1,7.47M,"2,558,511,877","1,512"
478,Sidemen,1,7.45M,"1,307,923,521",137
479,The Infographics Show,1,7.45M,"1,952,180,378","1,669"
483,Homemade solutions,1,7.42M,"421,995,371",121
484,PinkVEVO,1,7.41M,"5,223,316,215",149
492,HAR PAL GEO,1,7.31M,"3,867,947,212","11,398"
494,Neagle,1,7.3M,"1,284,818,439","1,985"
501,Inside Edition,1,7.23M,"10,629,942,719","19,311"
509,Daily Dose Of Internet,1,7.19M,"882,506,439",144
510,Flavia Calina,1,7.18M,"2,450,683,327","1,679"
515,JenniferLopezVEVO,1,7.15M,"6,855,200,285",101
516,Domics,1,7.14M,"1,031,558,495",189
517,Rudy Mancuso,1,7.14M,"1,244,587,779",119
518,Bretman Rock,1,7.13M,"403,231,948",106
519,HaAshOficial,1,7.13M,"17,649,891",160
526,Reik,1,7.07M,"67,254,154",142
527,Top Gear,1,7.06M,"2,637,540,348","1,300"
530,João Caetano,1,7.03M,"1,096,509,478","1,176"
533,Sanam,1,7M,"1,276,399,195",113
534,Rémi GAILLARD,1,6.98M,"1,754,027,891",143
542,Telugu Filmnagar,1,6.92M,"3,234,264,921","18,195"
544,Maryana Ro,1,6.9M,"749,184,631",155
545,Daithi De Nogla,1,6.88M,"1,110,322,284","1,195"
548,Super Polina Play,1,6.86M,"1,118,797,836",192
550,Lenay,1,6.83M,"767,342,968","1,214"
554,FPSRussia,1,6.78M,"898,037,401",115
557,Fran para meninas,1,6.77M,"1,747,487,269","1,567"
562,ThePianoGuys,1,6.73M,"1,857,417,444",104
567,L'Algerino,1,6.7M,"2,034,465,433",103
568,Knowledge Tv हिन्दी,1,6.7M,"69,933,558",106
569,Rubius Z,1,6.7M,"480,077,234",137
573,AlHayah TV Network,1,6.68M,"3,410,462,244","142,995"
580,PortugaPC,1,6.62M,"956,509,061","1,638"
584,Maiara e Maraisa,1,6.6M,"3,773,932,659",100
594,BBC Earth,1,6.52M,"2,091,432,390","1,758"
595,Christian Figueiredo,1,6.52M,"728,526,921","1,064"
597,Daniel Howell,1,6.51M,"659,828,483",130
604,Dynamo Gaming,1,6.47M,"466,519,754","1,183"
608,Maria Venture,1,6.44M,"291,671,330",186
610,قناة منوعات الكومي…,1,6.42M,"1,823,112,729",146
611,Netflix Brasil,1,6.41M,"295,977,712","1,563"
614,PineappleStormTV,1,6.39M,"1,693,591,411",191
617,Fe4RLess,1,6.37M,"815,066,500",176
619,UKF Dubstep,1,6.36M,"1,951,856,606","1,145"
620,Official Sabyan gambus,1,6.36M,"1,573,835,666",12
624,Super Senya,1,6.34M,"1,166,743,891",196
638,TAE,1,6.26M,"1,262,803,955","1,834"
641,NAGASWARA Official Video | Indones…,1,6.25M,"2,832,943,111","1,434"
644,Fun Kids House,1,6.21M,"1,818,999,586","1,070"
646,Toymong tv 토이몽TV,1,6.2M,"2,428,839,266","1,393"
647,Dr. Sandra Lee (aka Dr. Pimple Pop…,1,6.2M,"1,846,973,551","1,019"
656,Cat Music,1,6.14M,"6,098,223,438","1,988"
658,Don Omar,1,6.12M,"338,570,708",112
659,Like Nastya PRT,1,6.12M,"1,753,333,148",137
669,Guinness World Records,1,6.07M,"1,036,657,133","1,245"
670,Lucas Lira,1,6.06M,"281,609,585",159
672,Matheus Mazzafera,1,6.04M,"874,886,583","1,823"
677,RackaRacka,1,6.03M,"927,347,320",168
681,BakLol Video,1,6.01M,"1,262,791,799",162
682,Netflix Latinoamérica,1,6M,"396,136,601","1,740"
685,1Kilo Oficial,1,5.98M,"1,234,294,737",162
686,SurpriseJoe,1,5.98M,"1,647,581,920",130
694,KanalD,1,5.94M,"7,978,947,745","16,383"
696,Lucas Lucco,1,5.94M,"1,630,685,805",106
704,Coby Persin,1,5.88M,"1,063,225,374",108
706,Times Music,1,5.87M,"1,860,560,613","1,468"
707,alpha m.,1,5.86M,"895,812,567","1,226"
710,AC/DC,1,5.85M,"39,512,419",102
712,Naiara Azevedo,1,5.83M,"1,882,992,175",144
719,Planet Dolan,1,5.8M,"1,843,546,917","1,314"
722,John Legend,1,5.79M,"26,275,656",163
723,PojzPlaza,1,5.78M,"1,176,294,634","1,403"
724,FaZe Apex,1,5.78M,"1,046,943,522","1,838"
729,Taciele Alcolea,1,5.74M,"707,004,156","1,409"
731,VikatanTV,1,5.73M,"4,506,417,179","13,784"
734,Alltime10s,1,5.72M,"2,068,438,198","1,809"
742,Elvish yadav,1,5.68M,"442,474,494",101
746,HEARTROCKER,1,5.66M,"1,597,751,842","1,342"
750,Sernando,1,5.65M,"745,481,467","1,422"
753,FaZe Adapt,1,5.63M,"1,176,865,092","1,463"
757,ChuChuTV Surprise Eggs Learning Vi…,1,5.61M,"2,948,516,475",124
760,RDC Rajasthani,1,5.59M,"2,207,302,445","13,851"
762,Zedd,1,5.59M,"136,382,685",112
763,PONY Syndrome,1,5.58M,"311,765,029",147
765,Slipknot,1,5.58M,"2,341,113,953",190
779,DramaAlert,1,5.52M,"1,231,477,087","1,056"
780,Little Miss Sofia,1,5.51M,"1,146,807,775",128
781,YOLO AVENTURAS,1,5.51M,"567,681,804",144
783,Julia MineGirl,1,5.5M,"3,424,103,567","1,719"
786,SeaNanners Gaming Channel,1,5.5M,"2,606,717,013","1,839"
789,Metallica,1,5.49M,"2,720,740,032","1,595"
790,Maell Lee,1,5.49M,"330,707,011",120
794,M2,1,5.48M,"3,247,576,172","10,272"
798,Lonrot,1,5.47M,"444,634,705",130
805,Tata Pereira,1,5.44M,"428,271,354","1,110"
808,Yuka Kinoshita木下ゆうか,1,5.42M,"1,967,249,902","1,850"
809,Ricky Martin,1,5.41M,"317,539",14
818,lunacreciente,1,5.37M,"2,465,809,597","1,736"
826,Solnishkam,1,5.35M,"1,550,489,214",15
831,SonyLIV,1,5.33M,"1,128,744,776","1,607"
844,FaZe Rain,1,5.28M,"1,032,145,024","1,664"
847,Go Ami Go!,1,5.27M,"342,269,872",113
852,Khandesh Fun,1,5.25M,"1,229,330,705",132
853,Music Al Haneen | ميوزك ال�…,1,5.24M,"1,932,635,598","1,193"
857,XpertThief,1,5.23M,"1,327,797,799","1,818"
859,ToysPlay,1,5.22M,"2,634,527,739",195
861,Jana Taffarel,1,5.21M,"386,934,697","1,442"
872,avex,1,5.17M,"8,080,775,682","14,307"
878,Erpan1140,1,5.15M,"920,640,896","1,004"
879,Madelaine Petsch,1,5.15M,"159,914,663",101
881,JOOGSQUAD PPJT,1,5.15M,"789,448,936","1,085"
894,elmundoDKBza,1,5.1M,"810,575,738","1,061"
895,Tavo Betancourt,1,5.1M,"242,744,912",101
896,Studio Saraswati Official,1,5.09M,"1,470,884,680","1,849"
897,Le Rire Jaune,1,5.08M,"930,886,885",138
